CS 59000-003,Computing For Life Sciences I,fall
CS 59000-005,Statistical Mach Lrng,fall
CS 59000-006,Computing for Life Sciences II,Daisuke Kihara,fall
CS 59000-020,Adv Softw Test & Debug,Xiangyu Zhang,fall
CS 59000-021,Prin Of Prog Languages,fall
CS 59000-025,Embedded Comp Systems,fall
CS 59100-002,Res Sem 1st-Yr Gr Stud,Dongyan Xu,fall
CS 59100-003,Info Sec&Cybr Crime Sem,"Samuel S. Wagstaff, Jr.",fall
CS 59100-005,Recent Advances In Data Mgmt,"Walid G. Aref, Ahmed K. Elmagarmid, Sunil Prabhakar",fall
CS 60300,Advanced Topics in Distributed Systems,fall
CS 62600,Advanced Information Assurance,Christopher W. Clifton,fall
CS 63800,Multimedia Networking and Operating Systems,fall
CS 64100,Multimedia Database Systems,Bharat Bhargava,fall
CS 11000,Introduction To Computers,Marta A. Crowe,spring
CS 15900,Programming Applications For Engineers,William N Crum,spring
CS 17700,Programming With Multimedia Objects,spring
CS 18000,Programming I,Sunil Prabhakar,spring
CS 18200,Foundations Of Computer Science,Wojciech Szpankowski,spring
CS 19000-002,Intro To Comp Thinking,Susanne E. Hambrusch,spring
CS 19700,Freshman Honors Seminar,Elisa Bertino,spring
CS 23500,Introduction To Organizational Computing,spring
CS 24000,Programming In C,spring
CS 25000,Computer Architecture,Dongyan Xu,spring
CS 25100,Data Structures,Voicu S. Popescu,spring
CS 29000-001,Service Learn Outreach,spring
CS 30700,Software Engineering I,spring
CS 31400,Numerical Methods,spring
CS 34800,Information Systems,Ahmed K. Elmagarmid,spring
CS 35200,Compilers: Principles And Practice,Xiangyu Zhang,spring
CS 35400,Operating Systems,Pascal C. Meunier,spring
CS 38100,Introduction To The Analysis Of Algorithms,Mikhail Atallah,spring
CS 39000-002,Service Learn Outreach,spring
CS 39100-001,Junior Resources Semnr,William N Crum,spring
CS 42200,Computer Networks,Gustavo Adolfo Junipero Rodriguez-rivera,spring
CS 42600,Computer Security,spring
CS 44800,Introduction To Relational Database Systems,Walid G. Aref,spring
CS 49700,Honors Research Project,Elisa Bertino,spring
EC E49500,Selected Topics In Electrical And Computer Engineering,Lars Niklas E. Elmqvist,spring
CS 50200,Compiling And Programming Systems,Zhiyuan Li,spring
CS 50300,Operating Systems,Kihong Park,spring
CS 50500,Distributed Systems,spring
CS 52600,Information Security,Ninghui Li,spring
CS 53100,Computational Geometry,Christoph M. Hoffmann,spring
CS 53500,Interactive Computer Graphics,Elisha Sacks,spring
CS 53600,Data Communication And Computer Networks,spring
CS 54100,Database Systems,Bharat Bhargava,spring
CS 54200,Distributed Database Systems,Christopher W. Clifton,spring
CS 54300,Introduction To Simulation And Modeling Of Computer Systems,Vernon J. Rego,spring
CS 55500,Cryptography,"Samuel S. Wagstaff, Jr.",spring
CS 56500,Programming Languages,Suresh Jagannathan,spring
CS 57300,Data Mining,Jennifer Neville,spring
CS 58400,Theory Of Computation And Computational Complexity,Greg N. Frederickson,spring
CS 59000-006,Database Security,Elisa Bertino,spring
CS 59000-007,High Perform Cmptg Bioinformtc,Alex Pothen,spring
CS 59000-008,Information Retrieval,spring
CS 59000-009,Advanced Visual Data Analysis,Xavier Tricoche,spring
CS 59000-010,Protein Bioinformatics,Daisuke Kihara,spring
CS 59000-012,Prin of Programming Languages,spring
CS 59000-016,Tpcs in Distributed Algorithms,spring
CS 59100-001,Security Seminar,Christopher W. Clifton,spring
CS 63500,Capturing And Rendering Real-World Scenes,Daniel G. Aliaga,spring
CS 63600,Internetworking,spring
MA 61500,Numerical Methods For Partial Differential Equations I,spring
CS 15900,Programming Applications For Engineers,William N Crum,summer
CS 17700,Programming With Multimedia Objects,H. E. Dunsmore,summer
CS 23500,Introduction To Organizational Computing,summer
CS 11000,Introduction to Computers,Marta A. Crowe,fall
CS 15800,C Programming,William N Crum,fall
CS 15900,Programming Applications For Engineers,William N Crum,fall
CS 17700,Programming with Multimedia Objects,"H. E. Dunsmore, Lorenzo D. Martino",fall
CS 18000,Programming I,Aditya P. Mathur,fall
CS 18200,Foundations of Computer Science,Ananth Grama,fall
CS 18300,Professional Practice I,fall
CS 19100-LE1,Freshm Resources Semnr,William N Crum,fall
CS 23500,Introduction to Organizational Computing,fall
CS 24000,Programming in C,"Vernon J. Rego, Gustavo Adolfo Junipero Rodriguez-rivera",fall
CS 25000,Computer Architecture,Douglas E. Comer,fall
CS 25100,Data Structures,Sunil Prabhakar,fall
CS 29000-SLO,Service Learn Outreach,fall
CS 29000-SP0,Systems Programming,Gustavo Adolfo Junipero Rodriguez-rivera,fall
CS 29100-001,Soph Developmt Seminar,William N Crum,fall
CS 31400,Numerical Methods,Elisha Sacks,fall
CS 33400,Fundamentals of Computer Graphics,Voicu S. Popescu,fall
CS 34800,Information Systems,Bharat Bhargava,fall
CS 35200,Compilers: Principles and Practice,fall
CS 35400,Operating Systems,fall
CS 35500,Introduction to Cryptography,fall
CS 38100,Introduction to the Analysis of Algorithms,Mikhail Atallah,fall
CS 39000-CP0,Competitive Programming,fall
CS 39000-CP1,Competitive Programming,fall
CS 39000-SLO,Service Learn Outreach,fall
CS 39100-001,Junior Resources Semnr,William N Crum,fall
CS 39700,Honors Seminar,Alex Pothen,fall
CS 42600,Computer Security,Ninghui Li,fall
CS 47100,Introduction to Artificial Intelligence,fall
CS 49000-BBO,Cloud Syst Blind/Hrng,Bharat Bhargava,fall
CS 49700,Honors Research Project,Daisuke Kihara,fall
CS 50100,Introduction to Computational Science,fall
CS 50300,Operating Systems,Dongyan Xu,fall
CS 51000,Software Engineering,Xiangyu Zhang,fall
CS 51400,Numerical Analysis,Suchuan Dong,fall
CS 51500,Numerical Linear Algebra,Ahmed Sameh,fall
CS 52600,Information Security,Christopher W. Clifton,fall
CS 53000,Introduction to Scientific Visualization,Xavier Tricoche,fall
CS 53500,Interactive Computer Graphics,Daniel G. Aliaga,fall
CS 53600,Data Communication and Computer Networks,fall
CS 54100,Database Systems,Walid G. Aref,fall
CS 56500,Programming Languages,Suresh Jagannathan,fall
CS 57300,Data Mining,Jennifer Neville,fall
CS 58000,"Algorithm Design, Analysis, and Implementation","Greg N. Frederickson, Christoph M. Hoffmann",fall
